iter	RMSE
0	3061.194009
1	2391.227262
2	1910.84861
3	1575.205409
4	1328.496181
5	1160.822299
6	1042.118153
7	947.771925
8	880.8303794
9	831.7124247
10	796.3564893
11	769.0599064
12	749.2394492
13	735.3321564
14	723.3122825
15	708.0023612
16	689.7853596
17	682.7732774
18	675.2918237
19	662.9340938
20	657.3078481
21	652.9096086
22	643.702735
23	636.7139246
24	632.8685619
25	630.0884084
26	626.1844544
27	623.1971953
28	619.9973756
29	612.550647
30	609.8410644
31	607.0190239
32	603.7210884
33	599.9416312
34	594.2075082
35	588.6294029
36	585.6820616
37	583.490536
38	581.547203
39	579.6131155
40	576.8825527
41	573.67171
42	572.0032228
43	570.1506302
44	568.2131392
45	566.7675636
46	565.4637797
47	563.1703931
48	562.3633507
49	561.0111325
50	559.6790898
51	558.4927693
52	557.2915244
53	556.7124406
54	553.9306467
55	552.6613029
56	550.9651571
57	549.0766647
58	547.743112
59	546.1729897
60	545.5650935
61	545.0117627
62	543.8964223
63	542.0491584
64	540.8554441
65	539.6927944
66	538.8007115
67	538.1930504
68	537.3262071
69	536.9003932
70	536.1930603
71	534.7004674
72	533.5728963
73	531.5725937
74	530.1880064
75	528.8056541
76	527.8187101
77	526.6407735
78	525.4788858
79	524.5736988
80	523.4805286
81	522.532944
82	521.9538067
83	521.0199972
84	520.540297
85	519.3881966
86	518.5643432
87	517.6921056
88	517.1207108
89	516.414368
90	515.2363471
91	514.4114579
92	513.4525167
93	512.8556221
94	512.3899642
95	511.4720046
96	511.1570772
97	510.39818
98	510.374289
99	509.2628503
100	509.0098105
101	508.5257005
102	507.6747431
103	506.0851832
104	505.5283223
105	504.9849986
106	504.5925464
107	504.1631214
108	503.7634465
109	503.0978106
110	502.6462492
111	502.1530584
112	501.3787384
113	500.4921768
114	499.9955851
115	499.9825548
116	499.618158
117	498.9518034
118	497.957878
119	497.4727502
120	497.1123909
121	496.4487961
122	496.4339812
123	495.7679122
124	495.0671685
125	495.0555495
126	494.6802251
127	494.6676797
128	494.0877568
129	493.5872455
130	492.8253395
131	492.2773405
132	491.7895502
133	491.1074688
134	490.908501
135	490.3783105
136	489.684342
137	489.6774711
138	489.1148762
139	488.709189
140	488.6037185
141	487.9171051
142	487.3741985
143	487.3593197
144	486.8855208
145	486.1085243
146	485.5574682
147	485.18214
148	485.0043433
149	484.4115333
150	484.406084
151	483.9267394
152	483.4948809
153	483.1219746
154	482.9192866
155	482.8681042
156	482.7375074
157	482.7318275
158	482.5788377
159	482.3426803
160	481.8190587
161	481.3813568
162	480.7606525
163	480.062389
164	479.59487
165	479.2888597
166	478.8501124
167	478.2812807
168	477.7855209
169	477.3343187
170	476.7886702
171	476.1893569
172	475.4945453
173	475.0437974
174	474.4192139
175	473.9602019
176	473.6231183
177	473.1719293
178	472.777916
179	472.4717059
180	471.9582748
181	471.5271878
182	471.2631654
183	471.0434637
184	470.4657066
185	470.225523
186	469.8216501
187	469.7261154
188	469.518337
189	469.3329345
190	468.9753813
191	468.1953538
192	467.7716469
193	467.4204892
194	467.1357346
195	467.0010518
196	466.8893299
197	466.6263218
198	466.2434462
199	465.6805192
200	465.2976582
201	465.068844
202	464.6419614
203	464.342914
204	463.8265482
205	463.4830114
206	463.1444886
207	462.8247045
208	462.4591297
209	462.1727031
210	461.6778576
211	461.5437922
212	461.1105983
213	460.8586281
214	460.4723733
215	460.2058335
216	459.9459936
217	459.6737469
218	459.420585
219	458.8877376
220	458.6621517
221	458.4972458
222	458.1586774
223	457.718493
224	457.1510456
225	456.9414718
226	456.658531
227	456.5481114
228	456.0916551
229	455.5039864
230	454.9991499
231	454.5594413
232	454.2034153
233	453.9231151
234	453.6200933
235	453.3004832
236	453.044206
237	452.8050499
238	452.7573178
239	452.3247183
240	452.0181465
241	451.9148003
242	451.4573309
243	451.1813558
244	451.134201
245	450.8846342
246	450.6482211
247	449.9873186
248	449.8705918
249	449.6669851
250	449.3320508
251	449.0241508
252	448.6266007
253	448.5270911
254	448.4794534
255	448.1845803
256	448.1815629
257	447.9534366
258	447.6966552
259	447.5780941
260	447.3110532
261	447.0707158
262	446.9147668
263	446.7139256
264	446.5728437
265	446.3767773
266	446.1670178
267	445.9533103
268	445.3958186
269	445.0334572
270	444.8203078
271	444.6030352
272	444.4159899
273	444.1254157
274	443.9664894
275	443.7708294
276	443.2945692
277	443.1786541
278	442.9179376
279	442.8039549
280	442.60805
281	442.4599631
282	442.2638411
283	442.097567
284	441.8248148
285	441.4447793
286	441.245244
287	441.0948654
288	440.5796811
289	440.4801996
290	440.0901404
291	440.0298329
292	440.0144451
293	439.7603431
294	439.452797
295	439.199262
296	438.9307279
297	438.8946202
298	438.6442801
299	438.0891784
300	437.6482479
301	437.3838099
302	437.3150036
303	437.0382411
304	436.6396641
305	436.6321022
306	436.3013305
307	435.9747231
308	435.7713483
309	435.6519932
310	435.4304065
311	435.1216915
312	434.7746766
313	434.4703066
314	434.409302
315	434.2690354
316	434.2161268
317	433.7990774
318	433.4497703
319	433.2434248
320	432.9047097
321	432.6505145
322	432.3837922
323	432.011074
324	431.933345
325	431.8012888
326	431.6390781
327	431.4074614
328	431.1729881
329	430.99187
330	430.8231473
331	430.6969994
332	430.6513596
333	430.4590096
334	430.2649419
335	430.0422226
336	429.9739618
337	429.6202936
338	429.3787772
339	429.1397053
340	429.1381861
341	428.9451906
342	428.8671175
343	428.6355239
344	428.3662868
345	428.2903978
346	428.2892664
347	428.1519768
348	428.0846501
349	427.9391897
350	427.8082827
351	427.300359
352	427.1233063
353	426.7087899
354	426.5689013
355	426.4179863
356	426.3255031
357	426.0885387
358	425.8543408
359	425.5701375
360	425.4734248
361	425.2253969
362	424.9880511
363	424.7262729
364	424.6962111
365	424.5894635
366	424.4781473
367	424.3124525
368	424.1870997
369	424.1246355
370	423.9500463
371	423.7612756
372	423.6135293
373	423.4738152
374	423.1718595
375	423.1668392
376	423.0270817
377	422.6919395
378	422.2717608
379	422.1872164
380	422.0302533
381	421.6665654
382	421.3371492
383	421.0902559
384	420.9666804
385	420.7918849
386	420.7575947
387	420.3596133
388	420.1131689
389	420.0271246
390	419.8830054
391	419.7896238
392	419.6767038
393	419.5812073
394	419.5070794
395	419.381304
396	419.1229977
397	418.8472987
398	418.7534135
399	418.7511893
400	418.6679548
401	418.2504484
402	418.1468245
403	418.0067869
404	417.8289113
405	417.7846876
406	417.6447553
407	417.5785807
408	417.5101546
409	417.3832155
410	417.2547631
411	416.8832576
412	416.6565319
413	416.4825583
414	416.418198
415	416.0532181
416	415.882673
417	415.8520586
418	415.8399289
419	415.7776231
420	415.7563678
421	415.5923057
422	415.5098562
423	415.3526155
424	415.1297999
425	414.9485038
426	414.6357441
427	414.6038213
428	414.419123
429	414.3527877
430	414.0816655
431	413.9173926
432	413.8899496
433	413.7044262
434	413.6092635
435	413.4273521
436	413.3897562
437	413.3531159
438	413.2233865
439	413.1759951
440	412.8305755
441	412.5543553
442	412.3733711
443	412.3667248
444	412.0554143
445	411.8878935
446	411.8060719
447	411.6753078
448	411.557099
449	411.3897863
450	411.3482473
451	411.2922824
452	411.1248909
453	410.9089548
454	410.6968346
455	410.4136668
456	410.3190126
457	410.2730688
458	410.0725659
459	409.7716652
460	409.6324183
461	409.3927058
462	409.144013
463	408.8532505
464	408.7561819
465	408.6651447
466	408.5068466
467	408.2304749
468	408.0309882
469	407.8796947
470	407.7317894
471	407.6209479
472	407.4469338
473	407.3212497
474	407.0566592
475	407.0195302
476	406.8886644
477	406.5937547
478	406.4139439
479	406.2743807
480	406.2303611
481	406.02246
482	405.8760007
483	405.6159537
484	405.4688798
485	405.3799066
486	405.1742446
487	405.0647428
488	405.0453103
489	404.5681186
490	404.0141188
491	403.8710086
492	403.5894855
493	403.3489961
494	403.1272997
495	402.949425
496	402.7900598
497	402.7020299
498	402.6738116
499	402.6494134
500	402.4694701
501	402.1961818
502	401.9652209
503	401.8203779
504	401.6464799
505	401.330038
506	401.2786812
507	401.1142182
508	400.9798438
509	400.9079307
510	400.8085258
511	400.6980122
512	400.4584854
513	400.3864813
514	400.1267948
515	399.9337207
516	399.8795921
517	399.7296959
518	399.415075
519	399.2009712
520	399.0927489
521	398.9120573
522	398.7374322
523	398.6442351
524	398.2932027
525	398.1586259
526	398.0471083
527	397.8663832
528	397.5429593
529	397.3156904
530	397.1558504
531	397.0120449
532	396.8668913
533	396.7282266
534	396.5521786
535	396.5070944
536	396.3620514
537	396.189916
538	396.055415
539	395.9519254
540	395.8492175
541	395.6630788
542	395.3231732
543	395.2877594
544	395.1147915
545	394.9401106
546	394.7900137
547	394.7683356
548	394.5715457
549	394.2214647
550	394.0814202
551	393.888084
552	393.8320039
553	393.6649144
554	393.5030028
555	393.1820441
556	392.9493941
557	392.8009209
558	392.5487173
559	392.2557749
560	392.2032725
561	392.0294683
562	391.6716215
563	391.6017513
564	391.3696844
565	391.2566116
566	391.071554
567	391.0343027
568	390.9565568
569	390.8426048
570	390.668692
571	390.6546283
572	390.5088996
573	390.5055726
574	390.341151
575	390.1919362
576	390.0419631
577	389.8802692
578	389.77541
579	389.621513
580	389.3230301
581	389.2847105
582	389.0501629
583	389.0484639
584	389.0453118
585	388.994236
586	388.824851
587	388.8051738
588	388.8026848
589	388.722526
590	388.5910667
591	388.5063914
592	388.337976
593	388.228445
594	388.1795373
595	388.1504737
596	388.1496789
597	388.0813413
598	387.8613454
599	387.7928645
600	387.6375398
601	387.4488936
602	387.4039325
603	387.1091854
604	386.91817
605	386.8569928
606	386.7813954
607	386.6922961
608	386.6710218
609	386.4773563
610	386.4480632
611	386.362767
612	386.2916612
613	386.2191639
614	386.0727647
615	385.8919105
616	385.7638925
617	385.397158
618	385.3783978
619	385.3461907
620	385.2003241
621	384.8977512
622	384.4104774
623	384.2017607
624	384.1152422
625	383.9498413
626	383.8022651
627	383.6300434
628	383.3757756
629	383.3019601
630	383.2871609
631	383.1116691
632	382.9567501
633	382.8320121
634	382.6540094
635	382.4592651
636	382.3806297
637	382.0639813
638	382.0574449
639	381.9167509
640	381.9161027
641	381.6455028
642	381.5532556
643	381.418265
644	381.2436491
645	381.0785075
646	380.7925993
647	380.6457926
648	380.5494026
649	380.5053534
650	380.4077306
651	380.3436514
652	380.1718232
653	379.8699194
654	379.6399239
655	379.6016384
656	379.5572934
657	379.3963426
658	379.1958119
659	379.0248873
660	378.8081597
661	378.6801739
662	378.5956645
663	378.4642507
664	378.2578781
665	378.185372
666	378.0892973
667	378.0881596
668	378.0550827
669	378.032456
670	377.9845595
671	377.9586756
672	377.7663465
673	377.6530345
674	377.6225482
675	377.5048337
676	377.2186286
677	377.0872421
678	377.045102
679	376.9157458
680	376.7583368
681	376.5486926
682	376.3750332
683	376.304832
684	376.29203
685	376.2806606
686	376.2470607
687	376.0990091
688	375.9396852
689	375.8375947
690	375.8106352
691	375.7086488
692	375.5901683
693	375.5681761
694	375.3247284
695	375.2449483
696	375.1846802
697	375.1244127
698	375.0555107
699	374.9989667
700	374.8551806
701	374.7812642
702	374.7273527
703	374.5198124
704	374.4605874
705	374.4163682
706	374.3630881
707	374.2316959
708	374.0975709
709	374.0863372
710	373.8965797
711	373.744664
712	373.6249231
713	373.469044
714	373.3473764
715	373.3333074
716	373.300301
717	373.2921852
718	373.2615512
719	373.1357217
720	373.0909804
721	372.9839527
722	372.9159358
723	372.8352292
724	372.669748
725	372.5084474
726	372.4512465
727	372.2804204
728	372.2327029
729	372.1236946
730	371.9765227
731	371.8017734
732	371.6118344
733	371.2395678
734	371.1736136
735	371.068861
736	371.0602763
737	370.9973107
738	370.8268882
739	370.4865626
740	370.3525232
741	370.1521167
742	369.9628385
743	369.7840148
744	369.7227391
745	369.6482982
746	369.636996
747	369.460461
748	369.4166401
749	369.3357315
750	369.2828685
751	369.1760531
752	368.9956259
753	368.9669592
754	368.9319291
755	368.9234619
756	368.80951
757	368.6719126
758	368.5572816
759	368.3747844
760	368.2676551
761	368.2133879
762	368.0921391
763	368.08861
764	367.9929092
765	367.9478628
766	367.8890038
767	367.7893858
768	367.7119348
769	367.5030919
770	367.4742457
771	367.3576162
772	367.1289483
773	367.1211347
774	367.020446
775	366.9368934
776	366.8829739
777	366.6721602
778	366.4436818
779	366.4298863
780	366.3514056
781	366.1946792
782	366.0870056
783	365.9214688
784	365.7892805
785	365.7688707
786	365.7331132
787	365.4640777
788	365.1913968
789	365.1906896
790	365.1901198
791	365.1422814
792	364.9731841
793	364.9685387
794	364.7883072
795	364.7592735
796	364.7309684
797	364.643423
798	364.5033918
799	364.3866492
800	364.2267119
801	364.1265148
802	363.9639696
803	363.6800318
804	363.6423118
805	363.3437398
806	363.1657209
807	362.9746018
808	362.8493158
809	362.8488473
810	362.6976739
811	362.5630537
812	362.445193
813	362.3383387
814	362.2993155
815	362.2425843
816	362.2421561
817	362.0626478
818	361.8763692
819	361.6649868
820	361.544768
821	361.330373
822	361.1127116
823	360.9545979
824	360.8995166
825	360.8011639
826	360.6325352
827	360.470144
828	360.3560939
829	360.2562457
830	360.0630824
831	359.9108
832	359.7915154
833	359.6596208
834	359.5371698
835	359.4305755
836	359.418989
837	359.2899432
838	359.2885871
839	359.2795671
840	359.1399436
841	359.1188931
842	358.9563141
843	358.7585075
844	358.657113
845	358.4553944
846	358.3236289
847	358.2122665
848	358.0724176
849	357.9632736
850	357.8904763
851	357.8559106
852	357.6296223
853	357.5242545
854	357.3482505
855	357.2191457
856	357.1730037
857	357.102855
858	356.8953402
859	356.6976251
860	356.5926423
861	356.442644
862	356.3105515
863	356.2225953
864	356.1690343
865	356.0808424
866	355.988743
867	355.7734059
868	355.7062526
869	355.5922607
870	355.466621
871	355.398117
872	355.2219076
873	355.0934687
874	355.0082836
875	354.9500458
876	354.9055984
877	354.7125987
878	354.6131214
879	354.5679247
880	354.4105245
881	354.3119734
882	354.2475837
883	354.1883591
884	354.0901501
885	354.0252909
886	353.952108
887	353.8743468
888	353.7366356
889	353.5386729
890	353.4858292
891	353.3647768
892	353.3124881
893	352.9785994
894	352.9727587
895	352.8038929
896	352.7421515
897	352.5360497
898	352.4633602
899	352.3888034
900	352.3313616
901	352.2874668
902	352.2059418
903	352.1681448
904	352.1365219
905	352.1251016
906	352.099901
907	352.0750727
908	352.012445
909	351.7821713
910	351.6579663
911	351.6432166
912	351.5503813
913	351.4049829
914	351.3776512
915	351.3546117
916	351.2504027
917	351.2185456
918	351.0762203
919	350.9920887
920	350.8802221
921	350.8536312
922	350.816677
923	350.7095621
924	350.6566242
925	350.6466119
926	350.4571631
927	350.3761708
928	350.3148674
929	350.2949929
930	350.1577073
931	350.1032407
932	350.1005792
933	350.065966
934	349.9645201
935	349.892128
936	349.8670817
937	349.7263058
938	349.61051
939	349.6102429
940	349.5201731
941	349.4618879
942	349.461626
943	349.365702
944	349.3200822
945	349.2714707
946	349.2099009
947	349.1712789
948	349.0724169
949	348.9839806
950	348.939879
951	348.9127332
952	348.8406021
953	348.7602138
954	348.5941043
955	348.5455679
956	348.3047018
957	348.212465
958	348.0806665
959	348.0309501
960	347.9395881
961	347.815306
962	347.7228345
963	347.578773
964	347.472497
965	347.3974018
966	347.3429279
967	347.2760142
968	347.2757977
969	347.1515345
970	347.1004383
971	347.02141
972	346.9369456
973	346.8403733
974	346.6948246
975	346.5955866
976	346.4073257
977	346.2926329
978	346.264323
979	346.1214634
980	346.0206453
981	345.9865188
982	345.9191666
983	345.8096632
984	345.7003993
985	345.6881635
986	345.5682716
987	345.4781974
988	345.4779179
989	345.4673339
990	345.4671364
991	345.2902058
992	345.2523826
993	345.1878344
994	345.0477438
995	344.9463303
996	344.9278587
